review,final_text,label
Produkt nach zwei Tagen kaputt. Totaler Schrott.,produkt nach zwei tagen kaputt totaler schrott,0
¡Maravilloso! Toda la familia está encantada con el producto.,maravilloso toda la familia est encantada con el producto,2
Très content de mon achat. Le produit est encore mieux en VRAI.,trs content de mon achat le produit est encore mieux en vrai,2
"Erstklassige Qualität, sehr zufrieden. Gerne wieder.",erstklassige qualitt sehr zufrieden gerne wieder,2
Super produit! Exactly comme décrit. Livraison express. Bravo!,super produit exactly comme dcrit livraison express bravo,2
Product arrived quickly and LOOKS exactly as described. Very happy.,product arrived quickly looks exactly described happy,2
Shocking quality for the price. Complete rip-off.,shocking quality price complete ripoff,0
"Bin BEGEISTERT! Qualität top, Lieferung blitzschnell.",bin begeistert qualitt top lieferung blitzschnell,2
Excellent! Je suis très satisfait. Cinq étoiles méritées.,excellent je suis trs satisfait cinq toiles mrites,2
Great value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
Very pleased with this purchase. Quick delivery too!,pleased purchase quick delivery,2
"Lieferung war langsam, aber Produkt ist GUT.",lieferung war langsam aber produkt ist gut,1
Me ha sorprendido gratamente. Muy buena compra.,ha sorprendido gratamente muy buena compra,2
Dans la moyenne. Rien ne m'a particulièrement déçu ou impressionné.!,dans la moyenne rien ne particulirement du ou impressionn,1
¡Maravilloso! Toda la familia está encantada con el producto.,maravilloso toda la familia est encantada con el producto,2
Vraiment impressionné par LA qualité. Je rachèterai.,vraiment impressionn par la qualit je rachterai,2
Shocking quality for the price. Complete rip-off.,shocking quality price complete ripoff,0
"Superb quality, very sturdy and well-made. Five stars.",superb quality sturdy wellmade five stars,2
Produkt ist genau wie beschrieben. Sehr schnelle Lieferung.,produkt ist genau wie beschrieben sehr schnelle lieferung,2
REALLY impressed with the build quality. Would buy again.,really impressed build quality would buy,2
"Schlechte Qualität, sieht gar nicht so aus wie auf den Fotos.",schlechte qualitt sieht gar nicht aus wie auf den fotos,0
In Ordnung. Bin weder begeistert noch enttäuscht.,ordnung bin weder begeistert noch enttuscht,1
Awful. Returned it immediately. Complete waste of money.,awful returned immediately complete waste money,0
Very pleased with this purchase. Quick delivery too!,pleased purchase quick delivery,2
This is genuinely one of the best products I have bought online.,genuinely one best products bought online,2
Fantastisches Produkt zu einem fairen Preis. Top!,fantastisches produkt zu einem fairen preis top,2
Outstanding customer experience from start to finish.,outstanding customer experience start finish,2
"Très bon produit, fonctionne parfaitement. MERCI!",trs bon produit fonctionne parfaitement merci,2
Llegó en perfectas condiciones y es tal y como se describe.,lleg en perfectas condiciones es tal como se describe,2
"Top-notch quality, exactly what I needed.",topnotch quality exactly needed,2
Fantastisches Produkt zu einem fairen Preis. Top! 👍,fantastisches produkt zu einem fairen preis top,2
Fantastic item! Exceeded ALL my expectations.,fantastic item exceeded expectations,2
Perfect gift idea. Delivery was speedy and packaging was great.,perfect gift idea delivery speedy packaging great,2
"Amazing product, my whole family loves it. Thank you!",amazing product whole family loves thank,2
Producto básico. Cumple su función sin más.,producto bsico cumple su funcin sin ms,1
Produkt ist okay. Lieferung dauerte etwas länger.,produkt ist okay lieferung dauerte etwas lnger,1
VRAIMENT impressionné par la qualité. Je rachèterai.,vraiment impressionn par la qualit je rachterai,2
"Sehr schönes Produkt, die ganze Familie ist begeistert.",sehr schnes produkt die ganze familie ist begeistert,2
Exactly what I was looking for. Great price.,exactly looking great price,2
Waste of money. Don't buy this product.,waste money dont buy product,0
Great value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
Product arrived QUICKLY and looks exactly as described. Very happy. 😊,product arrived quickly looks exactly described happy,2
Terrible experience. The item arrived broken and support was useless.,terrible experience item arrived broken support useless,0
"Not bad, not great. DOES what it needs to do.",bad great needs,1
Produit de très bonne qualité. Je recommande sans hésitation. 😊,produit de trs bonne qualit je recommande sans hsitation,2
Exactly what I was looking for. Great price.,exactly looking great price,2
Livraison RAPIDE et produit conforme à la description. Parfait!,livraison rapide et produit conforme la description parfait,2
Poor quality. Fell apart after two days of normal use.,poor quality fell apart two days normal use,0
Akzeptable Qualität. Könnte besser SEIN.,akzeptable qualitt knnte besser sein,1
ITEM never arrived. Complete scam. Avoid at all costs.,item never arrived complete scam avoid costs,0
Exactly what I was looking for. Great price. 👍,exactly looking great price,2
Qualité déplorable. Retourné immédiatement.,qualit dplorable retourn immdiatement,0
"Rien de spécial, commande correctement traitée.",rien de spcial commande correctement traite,1
Geht so. Erfüllt seinen Zweck ausreichend.,geht erfllt seinen zweck ausreichend,1
"Top-notch quality, exactly what I needed.",topnotch quality exactly needed,2
Outstanding customer experience from start to finish.,outstanding customer experience start finish,2
Hervorragende Qualität. Würde ich sofort wieder kaufen.,hervorragende qualitt wrde ich sofort wieder kaufen,2
¡Me encanta este producto! lo mejor que he comprado este año.,encanta este producto lo mejor que comprado este ao,2
Exactly what I was looking for. Great price.,exactly looking great price,2
ICH liebe dieses Produkt! ⭐⭐⭐,ich liebe dieses produkt,2
"Sehr gutes Produkt, bin sehr zufrieden. Gerne wieder!",sehr gutes produkt bin sehr zufrieden gerne wieder,2
CALIDAD excepcional para el precio. Muy recomendable.,calidad excepcional para el precio muy recomendable,2
"Brilliant product, can't fault it at all.",brilliant product cant fault,2
Fantastic item! Exceeded ALL my expectations.,fantastic item exceeded expectations,2
"Lieferung war langsam, aber Produkt ist GUT. 😍",lieferung war langsam aber produkt ist gut,1
Three stars — meets the minimum expectations.,three stars meets minimum expectations,1
"Correcto, aunque el envío tardó más de lo indicado.",correcto aunque el envo tard ms de lo indicado,1
Excellent rapport qualité-prix. Très satisfait de mon achat.,excellent rapport qualitprix trs satisfait de mon achat,2
"Superb quality, very sturdy and well-made. Five stars. 😊",superb quality sturdy wellmade five stars,2
"Erstklassige Qualität, sehr zufrieden. Gerne wieder.",erstklassige qualitt sehr zufrieden gerne wieder,2
"Brilliant product, can't fault it at all.",brilliant product cant fault,2
Très déçu par la qualité. Je ne recommande pas.,trs du par la qualit je ne recommande pas,0
Sehr enttäuscht. Das Produkt ist kaputt angekommen.,sehr enttuscht das produkt ist kaputt angekommen,2
Fantastisches Produkt zu einem fairen Preis. Top!,fantastisches produkt zu einem fairen preis top,2
"Produit reçu rapidement, bien emballé et conforme. Parfait.",produit reu rapidement bien emball et conforme parfait,2
It arrived on time. Quality is acceptable for the price.,arrived time quality acceptable price,2
Lieferung war schnell und das Produkt ist ausgezeichnet!,lieferung war schnell und das produkt ist ausgezeichnet,2
"Excelente producto, lo recomendaría sin dudarlo.",excelente producto lo recomendara sin dudarlo,2
Do NOT buy this. Cheap rubbish that breaks immediately.,buy cheap rubbish breaks immediately,0
"Livraison soignée, produit de qualité. Recommande fortement.",livraison soigne produit de qualit recommande fortement,2
Très content de mon achat. Le produit est encore mieux en vrai.,trs content de mon achat le produit est encore mieux en vrai,2
"Rien de spécial, commande correctement traitée.",rien de spcial commande correctement traite,1
"Amazing product, my whole family loves it. Thank you! ⭐",amazing product whole family loves thank,2
Waste of money. Don't buy this PRODUCT.,waste money dont buy product,0
Livraison rapide et produit conforme à la description. Parfait!,livraison rapide et produit conforme la description parfait,2
"Lieferung war langsam, aber Produkt ist GUT.",lieferung war langsam aber produkt ist gut,1
I've used better products but this one is functional.,ive used better products one functional,1
Calidad premium a un precio justo. Muy satisfecho.,calidad premium un precio justo muy satisfecho,2
Outstanding customer experience from start to FINISH.,outstanding customer experience start finish,2
"Belle qualité, prix raisonnable. Très bonne expérience d'achat.",belle qualit prix raisonnable trs bonne exprience dachat,2
This is genuinely one of the best products I have bought online.,genuinely one best products bought online,2
Produkt ist GENAU wie beschrieben. Sehr schnelle Lieferung.,produkt ist genau wie beschrieben sehr schnelle lieferung,2
"Belle qualité, prix raisonnable. Très bonne expérience D'ACHAT. 😊",belle qualit prix raisonnable trs bonne exprience dachat,2
Pasable. Hay mejores opciones en el MERCADO. !!!,pasable hay mejores opciones en el mercado,1
"Parfait! Rien à redire, je commande à nouveau.",parfait rien redire je commande nouveau,2
Très content de mon achat. Le produit est encore mieux en vrai. 👍,trs content de mon achat le produit est encore mieux en vrai,2
"Très bon produit, fonctionne parfaitement. MERCI!",trs bon produit fonctionne parfaitement merci,2
Exactly what I was looking for. Great price.,exactly looking great price,2
"Magnifique produit, ma famille adore. Merci beaucoup.!",magnifique produit famille adore merci beaucoup,2
Vraiment impressionné par la qualité. Je rachèterai.,vraiment impressionn par la qualit je rachterai,2
Vraiment impressionné par la qualité. Je rachèterai.,vraiment impressionn par la qualit je rachterai,2
"Excelente producto, lo recomendaría sin dudarlo.",excelente producto lo recomendara sin dudarlo,2
Absolutely love this product! Best purchase I've made this year.,absolutely love product best purchase ive made year,2
Produkt ist genau wie beschrieben. Sehr schnelle Lieferung.,produkt ist genau wie beschrieben sehr schnelle lieferung,2
Good value for money. Highly recommend it!,good value money highly recommend,2
"Parfait! Rien À redire, je commande à nouveau.",parfait rien redire je commande nouveau,2
"Sehr schönes Produkt, die ganze Familie ist begeistert.",sehr schnes produkt die ganze familie ist begeistert,2
"Top-notch quality, exactly what I needed.",topnotch quality exactly needed,2
"Not bad, not great. Does what it needs to do.",bad great needs,1
Arnaque! Produit jamais reçu. Évitez absolument.,arnaque produit jamais reu vitez absolument,0
Do NOT buy this. Cheap rubbish that breaks immediately.,buy cheap rubbish breaks immediately,2
"Bin begeistert! Qualität top, Lieferung blitzschnell.",bin begeistert qualitt top lieferung blitzschnell,2
Fairly standard. Met MY basic expectations.,fairly standard met basic expectations,1
Ausgezeichnetes Produkt. Übertrifft alle meine Erwartungen. 😊,ausgezeichnetes produkt bertrifft alle meine erwartungen,2
Producto básico. Cumple su función sin más.,producto bsico cumple su funcin sin ms,2
"Sehr schönes Produkt, die ganze Familie ist begeistert.",sehr schnes produkt die ganze familie ist begeistert,2
"Livraison soignée, produit de qualité. Recommande fortement.",livraison soigne produit de qualit recommande fortement,2
Furchtbar. Sofort zurückgeschickt. Komplette Geldverschwendung.,furchtbar sofort zurckgeschickt komplette geldverschwendung,0
Perfect gift idea. Delivery was speedy and packaging was great.,perfect gift idea delivery speedy packaging great,2
It's alright. Nothing to complain about really.,alright nothing complain really,1
"Average product, nothing to write home about.",average product nothing write home,1
Produkt ist okay. Lieferung dauerte etwas länger.,produkt ist okay lieferung dauerte etwas lnger,1
Utterly useless product. Straight in the bin.,utterly useless product straight bin,0
Very pleased with this purchase. Quick delivery too!,pleased purchase quick delivery,2
"Brilliant product, can't fault it at all.",brilliant product cant fault,2
Correct mais pas exceptionnel. Je m'attendais à mieux.,correct mais pas exceptionnel je mattendais mieux,1
"Amazing product, my whole family loves it. Thank you!",amazing product whole family loves thank,2
Absoluter Betrug! Produkt nie erhalten. Finger weg!,absoluter betrug produkt nie erhalten finger weg,0
"Erstklassige Qualität, sehr zufrieden. Gerne wieder.",erstklassige qualitt sehr zufrieden gerne wieder,2
Great value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
Mittelmäßig. Habe Besseres für den Preis erwartet.,mittelmig habe besseres fr den preis erwartet,2
Excellent! Je SUIS très satisfait. Cinq étoiles méritées.,excellent je suis trs satisfait cinq toiles mrites,2
"Amazing product, my whole family loves it. Thank you!",amazing product whole family loves thank,2
This is genuinely one of the best products I have bought online.,genuinely one best products bought online,2
Vraiment impressionné PAR la qualité. Je rachèterai.,vraiment impressionn par la qualit je rachterai,2
Really impressed with the build quality. WOULD buy again. 👍,really impressed build quality would buy,2
Sehr enttäuscht. Das Produkt ist kaputt angekommen.,sehr enttuscht das produkt ist kaputt angekommen,0
"Erstklassige Qualität, sehr zufrieden. Gerne wieder.",erstklassige qualitt sehr zufrieden gerne wieder,2
Me ha sorprendido gratamente. Muy buena compra.!,ha sorprendido gratamente muy buena compra,2
Produit basique. Satisfait à moitié.,produit basique satisfait moiti,1
Qualité irréprochable et service client excellent.,qualit irrprochable et service client excellent,2
Works fine. I've seen better but I've also seen worse.,works fine ive seen better ive also seen worse,1
"Ganz in Ordnung. Nicht besonders, aber es erfüllt seinen Zweck.",ganz ordnung nicht besonders aber es erfllt seinen zweck,1
Poor quality. Fell apart after two days of normal use.,poor quality fell apart two days normal use,0
"Bin begeistert! Qualität top, Lieferung blitzschnell.",bin begeistert qualitt top lieferung blitzschnell,2
Good value for money. Highly RECOMMEND it!,good value money highly recommend,2
This is genuinely one of the best products I have bought online.,genuinely one best products bought online,2
"EXCELLENT product, highly recommend! BEST EVER!!!",excellent product highly recommend best ever,2
Qualité irréprochable et service client excellent.,qualit irrprochable et service client excellent,2
PRODUCT arrived quickly and looks exactly as described. Very happy.,product arrived quickly looks exactly described happy,2
Produkt ist genau wie beschrieben. Sehr schnelle Lieferung.,produkt ist genau wie beschrieben sehr schnelle lieferung,2
"Sehr schönes Produkt, die ganze Familie ist begeistert.",sehr schnes produkt die ganze familie ist begeistert,2
This is genuinely one of the best products I have bought online.,genuinely one best products bought online,2
Outstanding customer experience from start to finish.,outstanding customer experience start finish,2
Absolutely love this product! Best purchase I've made this year.,absolutely love product best purchase ive made year,2
"Parfait! Rien à redire, je commande à nouveau.",parfait rien redire je commande nouveau,2
Exactly what I WAS looking for. Great price.,exactly looking great price,2
Acceptable quality. Could be improved.,acceptable quality could improved,1
"Produit reçu rapidement, bien emballé et conforme. Parfait.",produit reu rapidement bien emball et conforme parfait,2
Very pleased with this purchase. Quick delivery too!,pleased purchase quick delivery,2
It is okay. Nothing special but it works as described.,okay nothing special works described,1
Pésima calidad. No se parece en nada a las fotos.,psima calidad se parece en nada las fotos,0
Outstanding customer experience from start to finish.,outstanding customer experience start finish,2
Publicidad engañosa. Quiero mi dinero de vuelta.,publicidad engaosa quiero mi dinero de vuelta,2
"Producto perfecto, llegó antes de lo esperado. Muy contento.",producto perfecto lleg antes de lo esperado muy contento,2
Perfect gift idea. Delivery was speedy and packaging was great.,perfect gift idea delivery speedy packaging great,2
"Top-notch quality, exactly what I needed.",topnotch quality exactly needed,2
Great value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
"Funktioniert wie beschrieben. Nicht mehr, nicht weniger.",funktioniert wie beschrieben nicht mehr nicht weniger,1
"Amazing product, my whole family loves it. Thank you!",amazing product whole family loves thank,2
"Amazing product, my whole family loves it. Thank you!",amazing product whole family loves thank,2
Livraison lente mais le produit est conforme. Acceptable.,livraison lente mais le produit est conforme acceptable,1
"Solid build, attractive design, works as advertised. Love it.",solid build attractive design works advertised love,2
Fantastisches Produkt zu einem fairen Preis. Top!,fantastisches produkt zu einem fairen preis top,2
Produit de très bonne qualité. Je recommande sans hésitation.,produit de trs bonne qualit je recommande sans hsitation,2
Terrible experience. The item arrived broken and support was useless.,terrible experience item arrived broken support useless,0
Perfect gift idea. Delivery was speedy and packaging was great.,perfect gift idea delivery speedy packaging great,2
Item never arrived. Complete scam. Avoid at all costs.,item never arrived complete scam avoid costs,2
Exactly what I was looking for. Great price.,exactly looking great price,2
"Producto perfecto, llegó antes de lo esperado. Muy contento.",producto perfecto lleg antes de lo esperado muy contento,2
Awful. Returned it immediately. Complete waste of money.,awful returned immediately complete waste money,2
The worst product I have ever purchased. Total disappointment.,worst product ever purchased total disappointment,0
Tolle Qualität und super Preis-Leistungs-Verhältnis. Empfehle es.,tolle qualitt und super preisleistungsverhltnis empfehle es,2
Producto básico. Cumple su función sin más.,producto bsico cumple su funcin sin ms,1
Decent enough. Not sure I would buy IT again though.,decent enough sure would buy though,1
Fantastisches Produkt zu einem fairen Preis. Top!,fantastisches produkt zu einem fairen preis top,2
"Belle qualité, prix raisonnable. Très bonne expérience d'achat.",belle qualit prix raisonnable trs bonne exprience dachat,2
Akzeptable Qualität. Könnte besser sein.,akzeptable qualitt knnte besser sein,1
Really impressed with the build quality. Would buy again.,really impressed build quality would buy,2
Product arrived quickly and looks exactly as described. Very happy.,product arrived quickly looks exactly described happy,2
Great value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
Très content de mon achat. Le produit est encore mieux en vrai.,trs content de mon achat le produit est encore mieux en vrai,2
Falsely advertised. I want my money back.,falsely advertised want money back,0
¡Fantástico! Supera todas mis expectativas. Cinco estrellas.,fantstico supera todas mis expectativas cinco estrellas,2
It's alright. Nothing TO complain about really.,alright nothing complain really,1
"Erstklassige Qualität, sehr zufrieden. Gerne wieder.",erstklassige qualitt sehr zufrieden gerne wieder,2
Arrived on time AND works perfectly. Very satisfied.,arrived time works perfectly satisfied,2
Super Qualität! Schnelle Lieferung. Sehr empfehlenswert.,super qualitt schnelle lieferung sehr empfehlenswert,2
It arrived on time. Quality is acceptable for the price.,arrived time quality acceptable price,1
¡Fantástico! Supera todas mis expectativas. Cinco estrellas.,fantstico supera todas mis expectativas cinco estrellas,2
Very pleased with this purchase. Quick delivery too!,pleased purchase quick delivery,2
Calidad excepcional para el precio. Muy recomendable.,calidad excepcional para el precio muy recomendable,2
"EXCELLENT PRODUCT, highly recommend! BEST EVER!!!",excellent product highly recommend best ever,2
Hervorragende Qualität. Würde ich sofort wieder kaufen.,hervorragende qualitt wrde ich sofort wieder kaufen,2
"Magnifique produit, ma famille adore. Merci beaucoup.",magnifique produit famille adore merci beaucoup,2
Service client catastrophique. Jamais plus!,service client catastrophique jamais plus,0
Does the job. Not amazing but not bad either.,job amazing bad either,1
Vraiment impressionné par la qualité. Je rachèterai.,vraiment impressionn par la qualit je rachterai,2
Envío rápido y producto en perfecto estado. Muy contento.,envo rpido producto en perfecto estado muy contento,2
Ausgezeichnetes Produkt. Übertrifft alle meine Erwartungen.,ausgezeichnetes produkt bertrifft alle meine erwartungen,2
Très content de mon achat. Le produit est encore mieux en vrai.,trs content de mon achat le produit est encore mieux en vrai,2
Waste of money. Don't BUY this product.,waste money dont buy product,0
"Brauchbar, aber nichts Besonderes. Drei Sterne.",brauchbar aber nichts besonderes drei sterne,1
¡Maravilloso! Toda la familia está encantada con el producto.,maravilloso toda la familia est encantada con el producto,2
Ich liebe dieses Produkt! ⭐⭐⭐,ich liebe dieses produkt,2
Excelente calidad Y envío rapidísimo. ¡Lo recomiendo a todos!,excelente calidad envo rapidsimo lo recomiendo todos,2
Excelente calidad y envío rapidísimo. ¡Lo recomiendo a todos!,excelente calidad envo rapidsimo lo recomiendo todos,2
Really impressed with the build quality. Would buy again.,really impressed build quality would buy,2
Geht so. Erfüllt seinen Zweck ausreichend.,geht erfllt seinen zweck ausreichend,1
"Bin begeistert! Qualität top, Lieferung blitzschnell.",bin begeistert qualitt top lieferung blitzschnell,2
Je suis vraiment content de cet achat. Je recommande vivement.,je suis vraiment content de cet achat je recommande vivement,2
Falsely advertised. I want my money back.,falsely advertised want money back,2
This is genuinely one of the best products I have bought online.,genuinely one best products bought online,2
Extremely poor quality. Looks nothing like the picture.,extremely poor quality looks nothing like picture,0
Je suis vraiment content de cet achat. Je recommande vivement.,je suis vraiment content de cet achat je recommande vivement,2
Produit inutilisable dès la première utilisation. Honteux.,produit inutilisable ds la premire utilisation honteux,0
"Brilliant product, can't fault it at all.",brilliant product cant fault,2
Kundenservice unhöflich und nutzlos. Nie wieder!,kundenservice unhflich und nutzlos nie wieder,0
Geht so. Erfüllt seinen Zweck ausreichend.,geht erfllt seinen zweck ausreichend,1
Great value for money. Highly recommend to everyone. 👍,great value money highly recommend everyone,2
It's alright. Nothing to complain about really.,alright nothing complain really,1
Qualité irréprochable et service client excellent.,qualit irrprochable et service client excellent,2
"Speedy delivery, well packaged, and exactly as described.",speedy delivery well packaged exactly described,2
Ausgezeichnetes Produkt. Übertrifft alle meine Erwartungen.,ausgezeichnetes produkt bertrifft alle meine erwartungen,2
"Belle qualité, prix raisonnable. Très bonne expérience d'achat.",belle qualit prix raisonnable trs bonne exprience dachat,2
Outstanding customer experience from start to finish.,outstanding customer experience start finish,2
Muy decepcionado. El producto llegó roto y el soporte es inútil.,muy decepcionado el producto lleg roto el soporte es intil,0
Absolutely love this product! Best purchase I've made THIS year. 👍,absolutely love product best purchase ive made year,2
"Magnifique produit, ma famille adore. Merci beaucoup.",magnifique produit famille adore merci beaucoup,2
"Produit reçu rapidement, bien emballé et conforme. Parfait.",produit reu rapidement bien emball et conforme parfait,2
Exactly what I was looking for. Great price.,exactly looking great price,2
"Amazing product, my whole family loves it. Thank you! !!!",amazing product whole family loves thank,2
